2026-04-25 16:33:40,507 | INFO    | build_curated_set | ========================================================================
2026-04-25 16:33:40,507 | INFO    | build_curated_set | build_curated_set start
2026-04-25 16:33:40,507 | INFO    | build_curated_set | ========================================================================
2026-04-25 16:33:42,207 | INFO    | build_curated_set | Seed: 42 (np.random.RandomState)
2026-04-25 16:33:42,208 | INFO    | build_curated_set | Pass 0 start: loading labels and answers for L3, L4, L5.
2026-04-25 16:33:42,208 | DEBUG   | build_curated_set | Loading /home/anshulk/arithmetic-geometry/labels/level_3.json
2026-04-25 16:33:42,343 | DEBUG   | build_curated_set | Loading /data/user_data/anshulk/arithmetic-geometry/answers/level_3.json
2026-04-25 16:33:42,420 | INFO    | build_curated_set | Pass 0 L3: loaded 5733 unique-(a,b) rows (3859c/1874w); dropped 4267 duplicate rows.
2026-04-25 16:33:42,420 | DEBUG   | build_curated_set | Loading /home/anshulk/arithmetic-geometry/labels/level_4.json
2026-04-25 16:33:42,604 | DEBUG   | build_curated_set | Loading /data/user_data/anshulk/arithmetic-geometry/answers/level_4.json
2026-04-25 16:33:42,717 | INFO    | build_curated_set | Pass 0 L4: loaded 9414 unique-(a,b) rows (2723c/6691w); dropped 586 duplicate rows.
2026-04-25 16:33:42,717 | DEBUG   | build_curated_set | Loading /home/anshulk/arithmetic-geometry/labels/level_5.json
2026-04-25 16:33:45,995 | DEBUG   | build_curated_set | Loading /data/user_data/anshulk/arithmetic-geometry/answers/level_5.json
2026-04-25 16:33:46,971 | INFO    | build_curated_set | Pass 0 L5: loaded 122223 unique-(a,b) rows (4197c/118026w); dropped 0 duplicate rows.
2026-04-25 16:33:47,187 | INFO    | build_curated_set | Computing magnitude_tier, carry_count_tier, answer_length per row.
2026-04-25 16:33:47,261 | INFO    | build_curated_set | Tier enrichment L3: rows=5733, distinct cells=27
2026-04-25 16:33:47,261 | DEBUG   | build_curated_set | L3 magnitude_tier histogram: {4: 639, 8: 648, 2: 621, 5: 628, 6: 640, 7: 657, 3: 619, 1: 632, 0: 649}
2026-04-25 16:33:47,262 | DEBUG   | build_curated_set | L3 carry_count_tier histogram: {1: 4990, 0: 743}
2026-04-25 16:33:47,262 | DEBUG   | build_curated_set | L3 answer_length histogram: {4: 4682, 3: 1051}
2026-04-25 16:33:47,379 | INFO    | build_curated_set | Tier enrichment L4: rows=9414, distinct cells=36
